state,x,y
Ladakh,214,68
Jammu Kashmir,183,99
Himachal Pradesh,224,148
punjab,190,172
Harayana,206,214
Uttarakhand,275,197
Rajasthan,121,285
Uttar Pradesh,292,278
Nepal,342,230
Gujarat,59,389
Madhya Pradesh,185,381
Bihar,391,314
Jharkhand,397,355
Chhattisgarh,315,429
Maharashtra,141,485
Telangana,250,526
Bhutan,510,260
Odisha,377,455
West Bengal,456,368
Bangladesh,507,346
Assam,549,281
Meghalaya,529,303
Arunachal Pradesh,583,247
Nagaland,624,281
Manipur,613,322
Mizoram,592,353
Tripura,554,345
Uttar Pradesh,287,263
Karnataka,162,608
Kerala,189,698
Tamil Nadu,233,695
Andhra Pradesh,226,582
Puducherry,296,648
Yaman,349,535
Goa,144,572

Arunachal Pradesh,216,551
Assam,163,521
Chhattisgarh,142,332
Bhutan,288,338
Chhattisgarh,334,424
Goa,167,291
West Bengal,193,277
Uttar Pradesh,384,160
